1516011468559 - XRPBTC: bid => { price: '0.00013083', size: 100 }
1516011468561 - BCHBTC: ask => { price: '0.179929', size: 300 }
1516011468561 - BCHBTC: bid => { price: '0.179097', size: 300 }
1516011468561 - BCNBTC: bid => { price: '0.0000007369', size: 100 }
1516011468563 - XDNBTC: bid => { price: '0.0000026450', size: 20 }
1516011468564 - XEMBTC: bid => { price: '0.00010255', size: 200 }
1516011468565 - DASHBTC: bid => { price: '0.072123', size: 300 }
1516011468566 - ETHUSD: ask => { price: '1320.21', size: 120 }
1516011468566 - ETHUSD: bid => { price: '1318.35', size: 500 }
1516011468567 - XRPUSDT: bid => { price: '1.8036', size: 607 }
1516011468568 - NXTUSD: ask => { price: '0.42793', size: 10246 }
1516011468570 - XVGBTC: ask => { price: '0.00000983', size: 2 }
1516011468570 - BCHETH: bid => { price: '1.862335', size: 111 }
1516011468572 - XMRUSD: ask => { price: '401.43', size: 9610 }
1516011468572 - XMRUSD: bid => { price: '398.89', size: 5491 }
1516011468573 - EDOBTC: ask => { price: '0.00038', size: 115 }
1516011468574 - NEOETH: ask => { price: '0.1234', size: 3 }
1516011468575 - ZECBTC: ask => { price: '0.047988', size: 4142 }
1516011468575 - ZECBTC: bid => { price: '0.047749', size: 108 }
1516011468576 - BCNUSD: bid => { price: '0.009165', size: 181928 }
1516011468577 - ZRXUSD: ask => { price: '2.12804', size: 893470 }
1516011468578 - LTCBTC: ask => { price: '0.01732', size: 153 }
1516011468578 - LTCBTC: bid => { price: '0.01731', size: 112 }
1516011468578 - LTCETH: ask => { price: '0.184', size: 1671 }
1516011468578 - LTCETH: bid => { price: '0.174', size: 3294 }
1516011468580 - ETHBTC: ask => { price: '0.096183', size: 18 }
1516011468580 - ETHBTC: bid => { price: '0.096055', size: 1214 }
1516011468581 - ZECUSD: bid => { price: '655.84', size: 358 }
1516011468582 - HVNETH: bid => { price: '0.0002429', size: 5 }
1516011468583 - XMRBTC: bid => { price: '0.029046', size: 20 }
1516011468584 - BTGBTC: ask => { price: '0.024132', size: 150000 }
1516011468584 - BTGBTC: bid => { price: '0.023036', size: 239 }
1516011468585 - DASHUSD: ask => { price: '999.39', size: 4577 }
1516011468586 - SNCUSD: bid => { price: '0.4608', size: 215431 }
1516011468624 - EKOBTC: bid => { price: '0.0000240', size: 74 }
1516011468636 - XTZUSD: ask => { price: '5.35301', size: 39421 }
1516011468636 - EOSUSD: ask => { price: '14.30219', size: 48130 }
1516011468642 - LTCETH: ask => { price: '0.186', size: 3136 }
1516011468642 - LTCETH: bid => { price: '0.175', size: 3540 }
1516011468643 - LTCUSD: bid => { price: '237.048', size: 47 }
1516011468644 - DASHBTC: ask => { price: '0.072530', size: 6722 }
1516011468644 - DASHBTC: bid => { price: '0.072210', size: 4080 }
1516011468646 - ZECUSD: ask => { price: '660.21', size: 8046 }
1516011468646 - ETHBTC: ask => { price: '0.096182', size: 3143 }
1516011468646 - ETHBTC: bid => { price: '0.096037', size: 1000 }
1516011468648 - NEOUSD: ask => { price: '164.58', size: 1500 }
1516011468649 - BTGBTC: ask => { price: '0.023702', size: 48430 }
1516011468649 - BTGBTC: bid => { price: '0.023037', size: 239 }
1516011468650 - BCHBTC: bid => { price: '0.179098', size: 300 }
1516011468651 - NXTBTC: ask => { price: '0.00003050', size: 89 }
1516011468651 - NXTBTC: bid => { price: '0.00003016', size: 3 }
