{ BTC: { currency_code: 'BTC', cash: '0.022940224', reserved: '0' },
  ETH: { currency_code: 'ETH', cash: '0.24776939', reserved: '0' },
  USD: { currency_code: 'USD', cash: '7.5357592', reserved: '0' } }
1515846284749 - LTCETH: bid => { price: '0.176', size: 5862 }
1515846285094 - LTCETH: bid => { price: '0.180', size: 752 }
1515846286047 - LTCETH: bid => { price: '0.178', size: 1139 }
1515846286047 - LTCETH: ask => { price: '0.186', size: 2273 }
1515846287374 - LTCETH: bid => { price: '0.178', size: 351 }
1515846287374 - LTCETH: ask => { price: '0.186', size: 2272 }
1515846289261 - LTCETH: bid => { price: '0.180', size: 787 }
1515846289771 - LTCETH: bid => { price: '0.180', size: 752 }
1515846289771 - LTCETH: ask => { price: '0.186', size: 2273 }
1515846290057 - LTCETH: bid => { price: '0.177', size: 2905 }
1515846290057 - LTCETH: ask => { price: '0.186', size: 2272 }
1515846290240 - LTCETH: bid => { price: '0.177', size: 2907 }
1515846290240 - LTCETH: ask => { price: '0.186', size: 2273 }
1515846290458 - LTCETH: bid => { price: '0.177', size: 2905 }
1515846290458 - LTCETH: ask => { price: '0.186', size: 2272 }
1515846291749 - LTCETH: bid => { price: '0.178', size: 1139 }
1515846291749 - LTCETH: ask => { price: '0.186', size: 2273 }
1515846291862 - LTCETH: bid => { price: '0.178', size: 351 }
1515846291862 - LTCETH: ask => { price: '0.186', size: 2272 }
1515846292843 - LTCETH: bid => { price: '0.180', size: 787 }
1515846293263 - LTCETH: bid => { price: '0.177', size: 2907 }
1515846293263 - LTCETH: ask => { price: '0.186', size: 2273 }
1515846293358 - LTCETH: bid => { price: '0.180', size: 752 }
1515846293358 - LTCETH: ask => { price: '0.185', size: 5218 }
1515846294463 - LTCETH: bid => { price: '0.180', size: 787 }
1515846296475 - LTCETH: bid => { price: '0.177', size: 2112 }
1515846297657 - LTCETH: ask => { price: '0.185', size: 4874 }
1515846299834 - LTCETH: bid => { price: '0.176', size: 5865 }
1515846299834 - LTCETH: ask => { price: '0.187', size: 1316 }
1515846304211 - LTCETH: bid => { price: '0.180', size: 752 }
1515846305343 - LTCETH: bid => { price: '0.178', size: 1146 }
1515846309776 - LTCETH: ask => { price: '0.187', size: 1315 }
1515846309883 - LTCETH: bid => { price: '0.176', size: 5864 }
1515846310073 - LTCETH: bid => { price: '0.180', size: 787 }
1515846310569 - LTCETH: ask => { price: '0.209', size: 200 }
1515846311065 - LTCETH: bid => { price: '0.179', size: 502 }
1515846311851 - LTCETH: ask => { price: '0.184', size: 77 }
1515846312153 - LTCETH: bid => { price: '0.176', size: 3508 }
1515846313968 - LTCETH: bid => { price: '0.182', size: 2613 }
1515846314274 - LTCETH: bid => { price: '0.183', size: 14 }
1515846314371 - LTCETH: bid => { price: '0.183', size: 3 }
1515846314552 - LTCETH: ask => { price: '0.183', size: 7 }
1515846316046 - LTCETH: bid => { price: '0.181', size: 492 }
1515846317555 - LTCETH: bid => { price: '0.178', size: 1583 }
1515846317555 - LTCETH: ask => { price: '0.186', size: 1555 }
